USER_ID,GENDER,CUSTOMER_TYPE,ACTIVITY,HAVE_RETENTION,BAD_REFERENCE_COUNTER,MARITAL_STATUS,NUMBER_OF_DEPENDENTS,NUMBER_OF_CHILDREN,LEVEL_OF_STUDY,HAVE_ASSETS,AMOUNT_OF_INCOME,AMOUNT_OF_EXPENSE
340,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
341,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
342,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
343,FEMALE,P,,S,1,SINGLE,1,,,,,0.00
344,FEMALE,P,,N,1,SINGLE,2,,,,,0.00
345,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
346,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
347,FEMALE,P,,S,1,SINGLE,5,,,,,0.00
348,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
349,FEMALE,P,,S,1,MARRIED,1,,,,,0.00
350,FEMALE,P,0117,N,1,SINGLE,1,,7,,1860.00,0.00
351,FEMALE,P,,N,1,MARRIED,1,,,,,0.00
352,FEMALE,P,,S,1,MARRIED,1,,,,0.01,0.00
353,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
354,FEMALE,P,0117,N,1,SINGLE,1,,7,,1411.00,0.00
355,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
356,FEMALE,P,0117,N,1,SINGLE,1,,7,,0.01,0.00
357,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
358,FEMALE,P,,S,1,MARRIED,5,,,,,0.00
359,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
360,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
361,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
362,FEMALE,P,0117,N,1,MARRIED,1,,7,,0.01,0.00
